id,day,language,section,type,tts_text,romanization,english,instruct_text,speaker_id
day07_vocabulary_002,7,Cantonese,Vocabulary,Flashcard,地圖,dei6 tou4,map,用温柔的语气讲这句话,Beth251112
day07_vocabulary_003,7,Cantonese,Vocabulary,Flashcard,天氣,tin1 hei3,weather,用温柔的语气讲这句话,Beth251112
day07_vocabulary_004,7,Cantonese,Vocabulary,Flashcard,沙灘,sa1 taan1,beach,用温柔的语气讲这句话,Beth251112
day07_vocabulary_005,7,Cantonese,Vocabulary,Flashcard,山,saan1,mountain,用温柔的语气讲这句话,Beth251112
day07_vocabulary_006,7,Cantonese,Vocabulary,Flashcard,影相,jing2 soeng2,to take photos,用温柔的语气讲这句话,Beth251112
day07_vocabulary_007,7,Cantonese,Vocabulary,Flashcard,放假,fong3 gaa3,holiday,用温柔的语气讲这句话,Beth251112
day07_vocabulary_008,7,Cantonese,Vocabulary,Flashcard,休息,jau1 sik1,to rest,用温柔的语气讲这句话,Beth251112
day07_vocabulary_009,7,Cantonese,Vocabulary,Flashcard,行程,haang4 cing4,route,用温柔的语气讲这句话,Beth251112
day07_vocabulary_010,7,Cantonese,Vocabulary,Flashcard,計劃,gai3 waak6,plan,用温柔的语气讲这句话,Beth251112
day08_vocabulary_001,8,Cantonese,Vocabulary,Flashcard,醫生,ji1 sang1,doctor,用温柔的语气讲这句话,Beth251112
day08_vocabulary_002,8,Cantonese,Vocabulary,Flashcard,痛,tung3,pain,用温柔的语气讲这句话,Beth251112
day08_vocabulary_003,8,Cantonese,Vocabulary,Flashcard,藥,joek6,medicine,用温柔的语气讲这句话,Beth251112
day08_vocabulary_004,8,Cantonese,Vocabulary,Flashcard,頭痛,tau4 tung3,headache,用温柔的语气讲这句话,Beth251112
day08_vocabulary_005,8,Cantonese,Vocabulary,Flashcard,肚痛,tou5 tung3,stomachache,用温柔的语气讲这句话,Beth251112
day08_vocabulary_006,8,Cantonese,Vocabulary,Flashcard,咳,kai1,cough,用温柔的语气讲这句话,Beth251112
day08_vocabulary_007,8,Cantonese,Vocabulary,Flashcard,感冒,gam2 mou6,cold,用温柔的语气讲这句话,Beth251112
day08_vocabulary_008,8,Cantonese,Vocabulary,Flashcard,醫院,ji1 jyun2,hospital,用温柔的语气讲这句话,Beth251112
day08_vocabulary_009,8,Cantonese,Vocabulary,Flashcard,健康,gin6 hong1,health,用温柔的语气讲这句话,Beth251112
day08_vocabulary_010,8,Cantonese,Vocabulary,Flashcard,休息,jau1 sik1,rest,用温柔的语气讲这句话,Beth251112
day09_vocabulary_001,9,Cantonese,Vocabulary,Flashcard,工作,gung1 zok3,work,用温柔的语气讲这句话,Beth251112
day09_vocabulary_002,9,Cantonese,Vocabulary,Flashcard,會議,wui6 ji5,meeting,用温柔的语气讲这句话,Beth251112
day09_vocabulary_003,9,Cantonese,Vocabulary,Flashcard,計劃,gai3 waak6,project,用温柔的语气讲这句话,Beth251112
day09_vocabulary_004,9,Cantonese,Vocabulary,Flashcard,報告,bou3 gou3,report,用温柔的语气讲这句话,Beth251112
day09_vocabulary_005,9,Cantonese,Vocabulary,Flashcard,同事,tung4 si6,colleague,用温柔的语气讲这句话,Beth251112
day09_vocabulary_006,9,Cantonese,Vocabulary,Flashcard,上司,soeng6 si1,boss,用温柔的语气讲这句话,Beth251112
day09_vocabulary_007,9,Cantonese,Vocabulary,Flashcard,時間,si4 gaan3,time,用温柔的语气讲这句话,Beth251112
day09_vocabulary_008,9,Cantonese,Vocabulary,Flashcard,任務,jam6 mou6,task,用温柔的语气讲这句话,Beth251112
day09_vocabulary_009,9,Cantonese,Vocabulary,Flashcard,主意,zyu2 ji3,idea,用温柔的语气讲这句话,Beth251112
day09_vocabulary_010,9,Cantonese,Vocabulary,Flashcard,成功,sing4 gung1,success,用温柔的语气讲这句话,Beth251112
day10_vocabulary_001,10,Cantonese,Vocabulary,Flashcard,街,gaai1,street,用温柔的语气讲这句话,Beth251112
day10_vocabulary_002,10,Cantonese,Vocabulary,Flashcard,地圖,dei6 tou4,map,用温柔的语气讲这句话,Beth251112
day10_vocabulary_003,10,Cantonese,Vocabulary,Flashcard,右轉,jau6 zyun2,turn right,用温柔的语气讲这句话,Beth251112
day10_vocabulary_004,10,Cantonese,Vocabulary,Flashcard,左轉,zo2 zyun2,turn left,用温柔的语气讲这句话,Beth251112
day10_vocabulary_005,10,Cantonese,Vocabulary,Flashcard,直行,zik6 haang4,go straight,用温柔的语气讲这句话,Beth251112
day10_vocabulary_006,10,Cantonese,Vocabulary,Flashcard,路口,lou6 hau2,crossroad,用温柔的语气讲这句话,Beth251112
day10_vocabulary_007,10,Cantonese,Vocabulary,Flashcard,近,kan5,near,用温柔的语气讲这句话,Beth251112
day10_vocabulary_008,10,Cantonese,Vocabulary,Flashcard,遠,jyun5,far,用温柔的语气讲这句话,Beth251112
day10_vocabulary_009,10,Cantonese,Vocabulary,Flashcard,大廈,daai6 haa6,building,用温柔的语气讲这句话,Beth251112
day10_vocabulary_010,10,Cantonese,Vocabulary,Flashcard,方向,fong1 hoeng3,direction,用温柔的语气讲这句话,Beth251112
day11_vocabulary_001,11,Cantonese,Vocabulary,Flashcard,女兒,neoi5ji4,daughter,用温柔的语气讲这句话,Beth251112
day11_vocabulary_002,11,Cantonese,Vocabulary,Flashcard,上學日,soeng5hok6 jat6,school day,用温柔的语气讲这句话,Beth251112
day11_vocabulary_003,11,Cantonese,Vocabulary,Flashcard,功課,gung1fo3,homework,用温柔的语气讲这句话,Beth251112
day11_vocabulary_004,11,Cantonese,Vocabulary,Flashcard,背囊,bui3nong4,backpack,用温柔的语气讲这句话,Beth251112
day11_vocabulary_005,11,Cantonese,Vocabulary,Flashcard,飯盒,faan6haap2,lunchbox,用温柔的语气讲这句话,Beth251112
day11_vocabulary_006,11,Cantonese,Vocabulary,Flashcard,校車,haau6ce1,school bus,用温柔的语气讲这句话,Beth251112
day12_vocabulary_001,12,Cantonese,Vocabulary,Flashcard,中學,zung1hok6,middle school,用温柔的语气讲这句话,Beth251112
day12_vocabulary_002,12,Cantonese,Vocabulary,Flashcard,班主任時間,baan1zyu2jam6 si4gaan1,homeroom,用温柔的语气讲这句话,Beth251112
day12_vocabulary_003,12,Cantonese,Vocabulary,Flashcard,教科書,gaau3fo1syu1,textbook,用温柔的语气讲这句话,Beth251112
day12_vocabulary_004,12,Cantonese,Vocabulary,Flashcard,儲物櫃,cyu5mat6gwai6,locker,用温柔的语气讲这句话,Beth251112
day12_vocabulary_005,12,Cantonese,Vocabulary,Flashcard,遲鈴,ci4 ling4,late bell,用温柔的语气讲这句话,Beth251112
day12_vocabulary_006,12,Cantonese,Vocabulary,Flashcard,讀書計劃,duk6syu1 gai3waak6,study plan,用温柔的语气讲这句话,Beth251112
day13_vocabulary_001,13,Cantonese,Vocabulary,Flashcard,夜風,je6 fung1,night breeze,用温柔的语气讲这句话,Beth251112
day13_vocabulary_002,13,Cantonese,Vocabulary,Flashcard,厚厚的毛毯,hau5 hau5 dik1 mou4taam2,thick blanket,用温柔的语气讲这句话,Beth251112
day13_vocabulary_003,13,Cantonese,Vocabulary,Flashcard,暖風機,nyun5fung1gei1,space heater,用温柔的语气讲这句话,Beth251112
day13_vocabulary_004,13,Cantonese,Vocabulary,Flashcard,熱茶,jit6caa4,hot tea,用温柔的语气讲这句话,Beth251112
day13_vocabulary_005,13,Cantonese,Vocabulary,Flashcard,窗閂,coeng1 saan1,window latch,用温柔的语气讲这句话,Beth251112
day13_vocabulary_006,13,Cantonese,Vocabulary,Flashcard,睡眠質素,seoi6min4 zat1sou3,sleep quality,用温柔的语气讲这句话,Beth251112
day14_vocabulary_001,14,Cantonese,Vocabulary,Flashcard,公司,gung1si1,company,用温柔的语气讲这句话,Beth251112
day14_vocabulary_002,14,Cantonese,Vocabulary,Flashcard,同事傾計,tung4si6 keng1gai2,coworker chat,用温柔的语气讲这句话,Beth251112
day14_vocabulary_003,14,Cantonese,Vocabulary,Flashcard,每週會議,mui5zau1 wui6ji5,weekly meeting,用温柔的语气讲这句话,Beth251112
day14_vocabulary_004,14,Cantonese,Vocabulary,Flashcard,項目簡介,hong6muk6 gaan2gaai3,project brief,用温柔的语气讲这句话,Beth251112
day14_vocabulary_005,14,Cantonese,Vocabulary,Flashcard,截止日期,zit6zi2 jat6kei4,deadlines,用温柔的语气讲这句话,Beth251112
day14_vocabulary_006,14,Cantonese,Vocabulary,Flashcard,反饋筆記,faan2gwai6 bat1gei3,feedback notes,用温柔的语气讲这句话,Beth251112
day15_vocabulary_001,15,Cantonese,Vocabulary,Flashcard,鞋店,haai4dim3,shoe store,用温柔的语气讲这句话,Beth251112
day15_vocabulary_002,15,Cantonese,Vocabulary,Flashcard,運動鞋,wan6dung6haai4,sneakers,用温柔的语气讲这句话,Beth251112
day15_vocabulary_003,15,Cantonese,Vocabulary,Flashcard,高跟鞋高度,gou1gan1haai4 gou1dou6,heel height,用温柔的语气讲这句话,Beth251112
day15_vocabulary_004,15,Cantonese,Vocabulary,Flashcard,尺碼表,cek3maa5 biu2,size chart,用温柔的语气讲这句话,Beth251112
day15_vocabulary_005,15,Cantonese,Vocabulary,Flashcard,退貨政策,teoi3fo3 zing3caak3,return policy,用温柔的语气讲这句话,Beth251112
day15_vocabulary_006,15,Cantonese,Vocabulary,Flashcard,舒適度測試,syu1sik1 dou6 caak1si3,comfort test,用温柔的语气讲这句话,Beth251112
day16_vocabulary_001,16,Cantonese,Vocabulary,Flashcard,女朋友,neoi2pang4jau5,girlfriend,用温柔的语气讲这句话,Beth251112
day16_vocabulary_002,16,Cantonese,Vocabulary,Flashcard,咖啡約會,gaa3fe1 joek3wui2,coffee date,用温柔的语气讲这句话,Beth251112
day16_vocabulary_003,16,Cantonese,Vocabulary,Flashcard,嗜好,si3hou3,hobby,用温柔的语气讲这句话,Beth251112
day16_vocabulary_004,16,Cantonese,Vocabulary,Flashcard,周末計劃,zau1mut6 gai3waak6,weekend plan,用温柔的语气讲这句话,Beth251112
day16_vocabulary_005,16,Cantonese,Vocabulary,Flashcard,文字串,man4zi6 cyun3,text thread,用温柔的语气讲这句话,Beth251112
day16_vocabulary_006,16,Cantonese,Vocabulary,Flashcard,慶祝,hing3zuk1,celebration,用温柔的语气讲这句话,Beth251112
day17_vocabulary_001,17,Cantonese,Vocabulary,Flashcard,生日派對,saang1jat6paai3deoi3,birthday party,用温柔的语气讲这句话,Beth251112
day17_vocabulary_002,17,Cantonese,Vocabulary,Flashcard,禮物包裝,lai5mat6 baau1zong1,gift wrap,用温柔的语气讲这句话,Beth251112
day17_vocabulary_003,17,Cantonese,Vocabulary,Flashcard,着裝規範,zoek3zong1 kwai1faan6,dress code,用温柔的语气讲这句话,Beth251112
day17_vocabulary_004,17,Cantonese,Vocabulary,Flashcard,賓客名單,ban1haak3 ming4daan1,guest list,用温柔的语气讲这句话,Beth251112
day17_vocabulary_005,17,Cantonese,Vocabulary,Flashcard,派對巴士,paai3deoi3 baa1si2,party bus,用温柔的语气讲这句话,Beth251112
day17_vocabulary_006,17,Cantonese,Vocabulary,Flashcard,煙花蠟燭,jin1faa1 laap6zuk1,sparkler candles,用温柔的语气讲这句话,Beth251112
day18_vocabulary_001,18,Cantonese,Vocabulary,Flashcard,細細嘅單位,sai3sai3 ge3 daan1wai2,tiny apartment,用温柔的语气讲这句话,Beth251112
day18_vocabulary_002,18,Cantonese,Vocabulary,Flashcard,儲物箱,cyu5mat6 soeng1,storage box,用温柔的语气讲这句话,Beth251112
day18_vocabulary_003,18,Cantonese,Vocabulary,Flashcard,樓層平面圖,lau4cang4 ping4min2tou4,floor plan,用温柔的语气讲这句话,Beth251112
day18_vocabulary_004,18,Cantonese,Vocabulary,Flashcard,租金預算,zou1gam1 jyu6syun3,rent budget,用温柔的语气讲这句话,Beth251112
day18_vocabulary_005,18,Cantonese,Vocabulary,Flashcard,摺枱,zip3 toi2,folding table,用温柔的语气讲这句话,Beth251112
day18_vocabulary_006,18,Cantonese,Vocabulary,Flashcard,共享衣櫃,gung6hoeng2 ji1gwai6,shared closet,用温柔的语气讲这句话,Beth251112
day19_vocabulary_001,19,Cantonese,Vocabulary,Flashcard,手提電腦支架,sau2tai4din6nou5 zi1gaa2,laptop stand,用温柔的语气讲这句话,Beth251112
day19_vocabulary_002,19,Cantonese,Vocabulary,Flashcard,無線滑鼠,mou4sin3 waat6syu2,wireless mouse,用温柔的语气讲这句话,Beth251112
day19_vocabulary_003,19,Cantonese,Vocabulary,Flashcard,屏幕休息,ping4mok6 jau1sik1,screen break,用温柔的语气讲这句话,Beth251112
day19_vocabulary_004,19,Cantonese,Vocabulary,Flashcard,專注計時器,zyun1zyu3 gai3si4hei3,focus timer,用温柔的语气讲这句话,Beth251112
day19_vocabulary_005,19,Cantonese,Vocabulary,Flashcard,軟件更新,jyun5gin2 gang1san1,software update,用温柔的语气讲这句话,Beth251112
day19_vocabulary_006,19,Cantonese,Vocabulary,Flashcard,伸展提示,san1zin2 tai4si6,stretch reminder,用温柔的语气讲这句话,Beth251112
day20_vocabulary_001,20,Cantonese,Vocabulary,Flashcard,訂枱,deng6 toi2,table reservation,用温柔的语气讲这句话,Beth251112
day20_vocabulary_002,20,Cantonese,Vocabulary,Flashcard,餐牌精選,caan1paai2 zing1syun2,menu special,用温柔的语气讲这句话,Beth251112
day20_vocabulary_003,20,Cantonese,Vocabulary,Flashcard,等候名單,dang2hau6 ming4daan1,waitlist,用温柔的语气讲这句话,Beth251112
day20_vocabulary_004,20,Cantonese,Vocabulary,Flashcard,茶壺,caa4wu2,tea pot,用温柔的语气讲这句话,Beth251112
day20_vocabulary_005,20,Cantonese,Vocabulary,Flashcard,招牌菜,ziu1paai4coi3,signature dish,用温柔的语气讲这句话,Beth251112
day20_vocabulary_006,20,Cantonese,Vocabulary,Flashcard,AA制,ei1ei1zai3,bill split,用温柔的语气讲这句话,Beth251112
day21_vocabulary_001,21,Cantonese,Vocabulary,Flashcard,播放列表,bo3fong3lit6biu2,playlist,用温柔的语气讲这句话,Beth251112
day21_vocabulary_002,21,Cantonese,Vocabulary,Flashcard,耳機,ji5gei1,headphones,用温柔的语气讲这句话,Beth251112
day21_vocabulary_003,21,Cantonese,Vocabulary,Flashcard,舞步,mou5bou6,dance move,用温柔的语气讲这句话,Beth251112
day21_vocabulary_004,21,Cantonese,Vocabulary,Flashcard,合唱,hap6coeng3,chorus,用温柔的语气讲这句话,Beth251112
day21_vocabulary_005,21,Cantonese,Vocabulary,Flashcard,音量旋鈕,jam1loeng6 syun4nau2,volume knob,用温柔的语气讲这句话,Beth251112
day21_vocabulary_006,21,Cantonese,Vocabulary,Flashcard,最愛的歌手,zeoi3 oi3 dik1 go1sau2,favorite singer,用温柔的语气讲这句话,Beth251112
day22_vocabulary_001,22,Cantonese,Vocabulary,Flashcard,準備餐食,zeon2bei6 caan1 sik6,meal prep,用温柔的语气讲这句话,Beth251112
day22_vocabulary_002,22,Cantonese,Vocabulary,Flashcard,步數,bou6sou3,step count,用温柔的语气讲这句话,Beth251112
day22_vocabulary_003,22,Cantonese,Vocabulary,Flashcard,補水,bou2seoi2,hydration,用温柔的语气讲这句话,Beth251112
day22_vocabulary_004,22,Cantonese,Vocabulary,Flashcard,間歇跑,gaan3hit3 paau2,interval run,用温柔的语气讲这句话,Beth251112
day22_vocabulary_005,22,Cantonese,Vocabulary,Flashcard,睡眠節奏,seoi6min4 zit3zau3,sleep rhythm,用温柔的语气讲这句话,Beth251112
day22_vocabulary_006,22,Cantonese,Vocabulary,Flashcard,進展相,zeon3zin2 soeng2,progress photo,用温柔的语气讲这句话,Beth251112
day23_vocabulary_001,23,Cantonese,Vocabulary,Flashcard,職位列表,zik1wai6 lit6biu2,job listing,用温柔的语气讲这句话,Beth251112
day23_vocabulary_002,23,Cantonese,Vocabulary,Flashcard,履歷表草稿,lei5lik6biu2 cou2gou2,resume draft,用温柔的语气讲这句话,Beth251112
day23_vocabulary_003,23,Cantonese,Vocabulary,Flashcard,求職信,kau4zik1seon3,cover letter,用温柔的语气讲这句话,Beth251112
day23_vocabulary_004,23,Cantonese,Vocabulary,Flashcard,技能網格,gei6nang4 mong5gaak3,skills grid,用温柔的语气讲这句话,Beth251112
day23_vocabulary_005,23,Cantonese,Vocabulary,Flashcard,影片面試,jing2pin2 min6si3,video interview,用温柔的语气讲这句话,Beth251112
day23_vocabulary_006,23,Cantonese,Vocabulary,Flashcard,網絡咖啡,mong5lok2 gaa3fe1,network coffee,用温柔的语气讲这句话,Beth251112
day24_vocabulary_001,24,Cantonese,Vocabulary,Flashcard,打卡紙,daa2kaat1 zi2,timecard,用温柔的语气讲这句话,Beth251112
day24_vocabulary_002,24,Cantonese,Vocabulary,Flashcard,通勤,tung1kan4,commute,用温柔的语气讲这句话,Beth251112
day24_vocabulary_003,24,Cantonese,Vocabulary,Flashcard,街頭小食,gaai1tau4 siu2sik6,street food,用温柔的语气讲这句话,Beth251112
day24_vocabulary_004,24,Cantonese,Vocabulary,Flashcard,播客節目,bo3haak3 zit3muk6,podcast episode,用温柔的语气讲这句话,Beth251112
day24_vocabulary_005,24,Cantonese,Vocabulary,Flashcard,梳化瞓覺,so1faa2 fan3gaau3,sofa nap,用温柔的语气讲这句话,Beth251112
day24_vocabulary_006,24,Cantonese,Vocabulary,Flashcard,夜市,je6si5,night market,用温柔的语气讲这句话,Beth251112
day25_vocabulary_001,25,Cantonese,Vocabulary,Flashcard,衣櫃,ji1gwai6,wardrobe,用温柔的语气讲这句话,Beth251112
day25_vocabulary_002,25,Cantonese,Vocabulary,Flashcard,晾衫架,long6saam1gaa2,laundry rack,用温柔的语气讲这句话,Beth251112
day25_vocabulary_003,25,Cantonese,Vocabulary,Flashcard,熨衫板,tong3saam1baan2,ironing board,用温柔的语气讲这句话,Beth251112
day25_vocabulary_004,25,Cantonese,Vocabulary,Flashcard,天氣報告,tin1hei3bou3gou3,weather report,用温柔的语气讲这句话,Beth251112
day25_vocabulary_005,25,Cantonese,Vocabulary,Flashcard,配件,pui3gin2,accessories,用温柔的语气讲这句话,Beth251112
day25_vocabulary_006,25,Cantonese,Vocabulary,Flashcard,備用服裝,bei6jung6 fuk6zong1,backup outfit,用温柔的语气讲这句话,Beth251112
day26_vocabulary_001,26,Cantonese,Vocabulary,Flashcard,自習室,zi6zaap6 sat1,study hall,用温柔的语气讲这句话,Beth251112
day26_vocabulary_002,26,Cantonese,Vocabulary,Flashcard,小食吧,siu2sik6 baa1,snack bar,用温柔的语气讲这句话,Beth251112
day26_vocabulary_003,26,Cantonese,Vocabulary,Flashcard,社團會議,se5tyun4 wui6ji5,club meeting,用温柔的语气讲这句话,Beth251112
day26_vocabulary_004,26,Cantonese,Vocabulary,Flashcard,手帳,sau2zoeng3,notebook,用温柔的语气讲这句话,Beth251112
day26_vocabulary_005,26,Cantonese,Vocabulary,Flashcard,儲物櫃通行證,cyu5mat6gwai6 tung1hang4zing3,locker pass,用温柔的语气讲这句话,Beth251112
day26_vocabulary_006,26,Cantonese,Vocabulary,Flashcard,練習測驗,lin6zaap6 caak1jim6,practice quiz,用温柔的语气讲这句话,Beth251112
day27_vocabulary_001,27,Cantonese,Vocabulary,Flashcard,班次時間表,baan1ci3 si4gaan1biu2,shift schedule,用温柔的语气讲这句话,Beth251112
day27_vocabulary_002,27,Cantonese,Vocabulary,Flashcard,任務隊列,jam4mou6 deoi6lit6,task queue,用温柔的语气讲这句话,Beth251112
day27_vocabulary_003,27,Cantonese,Vocabulary,Flashcard,刷徽章,caat3 fai1zoeng1,badge swipe,用温柔的语气讲这句话,Beth251112
day27_vocabulary_004,27,Cantonese,Vocabulary,Flashcard,午飯時間,ng5faan6 si4gaan1,lunch break,用温柔的语气讲这句话,Beth251112
